donor_id,acquisition_channel,cause,gender,age,socioeconomic_level,initial_amount,current_amount,amount_variance,amount_trend_monthly_pct,spontaneous_upgrade,optimal_upgrade_amount,elasticity_score,months_active,successful_payments,failed_payments,payment_success_rate,consecutive_failed_payments,recency_days,emails_sent,emails_opened,emails_clicked,email_open_rate,email_click_rate,last_email_open_days,last_non_transactional_interaction_days,rfm_recency,rfm_frequency,rfm_monetary,complaint_history,pause_requests,previous_upgrade_requests,upgrade_accepted,upgrade_acceptance_rate,months_since_last_upgrade_request,experiment_group,optimal_intervention_month,upgrade_response,churned,uplift_segment
DON-0057,calle,medio_ambiente,F,51,medio,18.08,18.94,0.56,0.0014,0,4.22,0.223,35,32,3,0.9143,2,17,28,16,3,0.5982,0.1391,82,33,17,9.1,6.4981,0,1,3,3,1.0,22.0,0,6,0,0,persuadable
DON-0058,calle,medio_ambiente,M,65,medio,14.15,12.58,0.69,-0.0221,0,3.07,0.2437,5,4,1,0.8,0,15,5,1,0,0.2972,0.0896,1,79,15,8.0,4.1573,1,0,0,0,,,1,10,1,0,persuadable
DON-0059,calle,salud,M,20,medio_alto,47.71,53.55,0.72,0.0204,1,21.35,0.3988,6,6,0,1.0,0,17,5,2,1,0.4878,0.2016,21,35,17,10.0,5.7755,2,0,2,1,0.5,5.0,0,9,0,0,sure_thing
DON-0060,online,salud,F,35,medio_bajo,13.71,15.46,0.6,0.0212,1,4.59,0.297,6,6,0,1.0,0,24,6,4,0,0.6695,0.0576,12,26,24,10.0,4.5407,0,2,2,0,0.0,5.0,0,3,0,0,sure_thing
DON-0061,online,infancia,F,32,medio,24.97,32.92,0.34,0.0289,1,7.18,0.2182,11,9,2,0.8182,1,19,11,3,1,0.3272,0.1558,31,20,19,8.2,5.8947,0,0,0,0,,,1,9,0,0,sure_thing
DON-0062,calle,salud,M,51,medio_alto,55.41,56.8,1.64,0.0013,0,22.12,0.3895,19,14,5,0.7368,0,6,21,12,0,0.6057,0.0275,5,8,6,7.4,6.9849,0,0,2,2,1.0,10.0,1,5,1,0,persuadable
DON-0063,referido,educacion,F,28,medio,20.73,27.96,0.14,0.0183,0,7.21,0.2578,19,19,0,1.0,0,16,19,5,1,0.2777,0.0702,31,39,16,10.0,6.2771,0,0,3,1,0.3333,5.0,0,4,0,0,persuadable
DON-0064,online,medio_ambiente,F,51,alto,162.78,1.0,0.31,-0.0363,0,0.45,0.4451,35,33,2,0.9429,0,5,34,6,2,0.1966,0.0752,144,35,5,9.4,3.5835,1,1,1,1,1.0,30.0,1,10,1,0,persuadable
DON-0065,calle,infancia,M,59,alto,71.01,38.39,1.37,-0.0209,0,17.38,0.4528,22,20,2,0.9091,0,17,26,7,0,0.3007,0.0143,9,167,17,9.1,6.74,0,0,3,1,0.3333,20.0,0,5,0,0,persuadable
DON-0066,online,educacion,M,51,medio_bajo,8.48,13.64,0.14,0.0381,1,3.58,0.2623,16,16,0,1.0,0,11,14,4,1,0.323,0.105,18,23,11,10.0,5.3902,0,0,2,0,0.0,6.0,1,5,1,0,persuadable
DON-0067,calle,infancia,M,45,medio_bajo,8.9,12.19,0.23,0.0154,0,2.88,0.2361,24,21,3,0.875,0,0,21,3,0,0.161,0.0116,0,24,0,8.8,5.6821,0,0,3,1,0.3333,12.0,1,7,1,0,persuadable
DON-0068,referido,infancia,F,29,alto,126.69,215.88,20.71,0.0243,1,83.26,0.3857,29,27,2,0.931,3,26,24,12,2,0.5121,0.1077,17,8,26,9.3,8.7422,0,0,0,0,,,0,6,0,0,sure_thing
DON-0069,calle,infancia,M,30,alto,189.36,181.83,6.99,-0.008,0,88.94,0.4891,5,5,0,1.0,0,6,5,2,0,0.5914,0.1652,15,40,6,10.0,6.8136,0,0,0,0,,,1,3,1,0,persuadable
DON-0070,telefono,medio_ambiente,M,58,bajo,7.37,5.12,0.3,-0.0118,0,1.34,0.262,26,22,4,0.8462,0,50,28,12,6,0.4433,0.2359,24,84,50,8.5,4.8987,0,0,0,0,,,0,4,0,0,persuadable
DON-0071,referido,educacion,F,52,bajo,3.67,3.35,0.52,-0.0027,0,0.83,0.249,32,30,2,0.9375,0,6,25,6,0,0.2403,0.0194,8,12,6,9.4,4.684,0,0,1,1,1.0,22.0,0,4,0,0,persuadable
DON-0072,calle,salud,F,41,medio_bajo,6.73,7.88,0.85,0.0171,0,1.97,0.2496,10,8,2,0.8,1,90,10,6,2,0.656,0.2385,11,0,90,8.0,4.3795,0,0,2,1,0.5,6.0,0,9,0,1,persuadable
DON-0073,calle,infancia,M,36,alto,103.65,179.71,11.17,0.0306,1,79.62,0.4431,24,20,4,0.8333,0,12,23,6,0,0.2639,0.0271,28,52,12,8.3,8.3696,0,0,1,0,0.0,10.0,1,6,1,0,persuadable
DON-0074,referido,educacion,M,18,medio_bajo,7.91,8.45,0.04,0.0025,0,2.19,0.2586,27,25,2,0.9259,0,0,32,11,6,0.3455,0.1969,71,1,0,9.3,5.4344,0,0,2,1,0.5,20.0,0,4,0,0,persuadable
DON-0075,evento,educacion,F,28,medio,22.3,11.65,1.12,-0.0398,0,3.57,0.3067,12,12,0,1.0,0,1,10,7,0,0.7668,0.0735,8,23,1,10.0,4.9473,1,0,1,0,0.0,5.0,0,8,0,0,persuadable
DON-0076,evento,educacion,F,66,medio_alto,56.6,95.26,4.67,0.022,1,34.88,0.3662,31,27,4,0.871,0,1,33,8,1,0.2652,0.0451,33,42,1,8.7,7.9909,0,2,1,0,0.0,9.0,1,6,1,0,sure_thing
DON-0077,referido,infancia,F,25,bajo,7.81,8.23,0.7,0.018,0,1.55,0.1885,3,3,0,1.0,3,1,3,1,0,0.4849,0.2639,22,21,1,10.0,3.2461,0,1,0,0,,,1,8,0,0,persuadable
DON-0078,calle,medio_ambiente,M,44,medio,23.07,36.0,0.99,0.0244,1,8.56,0.2378,23,20,3,0.8696,0,6,18,3,1,0.1828,0.0676,3,13,6,8.7,6.7202,0,0,0,0,,,1,6,1,0,sure_thing
DON-0079,online,emergencias,F,55,medio_bajo,13.38,25.8,0.01,0.0357,1,7.64,0.296,26,25,1,0.9615,0,7,30,20,6,0.691,0.2234,25,72,7,9.6,6.51,0,0,0,0,,,1,3,0,0,sure_thing
DON-0080,calle,educacion,F,25,medio_alto,43.38,59.28,7.89,0.0333,1,22.36,0.3772,11,11,0,1.0,0,2,9,2,1,0.2718,0.1638,37,16,2,10.0,6.4817,0,0,3,0,0.0,8.0,1,5,1,0,persuadable
DON-0081,referido,infancia,F,44,medio_bajo,7.08,17.16,0.23,0.0508,1,4.34,0.2526,28,26,2,0.9286,1,11,29,16,6,0.5834,0.2162,27,8,11,9.3,6.1769,0,0,3,1,0.3333,9.0,0,6,0,0,sure_thing
DON-0082,evento,infancia,F,54,medio_alto,43.36,48.54,1.08,0.0109,0,19.63,0.4044,11,10,1,0.9091,0,9,12,7,1,0.6163,0.1188,3,22,9,9.1,6.2822,0,0,3,3,1.0,5.0,0,3,0,0,persuadable
DON-0083,online,medio_ambiente,M,42,medio_alto,44.43,41.54,1.12,-0.003,0,14.43,0.3474,22,19,3,0.8636,0,20,23,1,0,0.083,0.0327,57,6,20,8.6,6.8188,1,2,2,0,0.0,19.0,1,9,0,0,persuadable
DON-0084,calle,emergencias,M,79,medio_bajo,12.42,18.05,0.34,0.0412,1,4.29,0.2376,11,9,2,0.8182,0,4,9,1,0,0.2212,0.0616,1,52,4,8.2,5.2961,0,0,0,0,,,1,6,1,0,persuadable
DON-0085,online,salud,F,20,bajo,4.1,7.77,0.06,0.0373,1,2.11,0.272,24,24,0,1.0,0,49,28,11,1,0.4199,0.0589,8,55,49,10.0,5.2337,0,0,1,0,0.0,2.0,0,5,0,0,sure_thing
DON-0086,online,medio_ambiente,F,55,medio,17.37,17.53,0.34,0.003,0,4.88,0.2782,3,3,0,1.0,0,14,2,0,0,0.4822,0.1156,28,0,14,10.0,3.9814,0,0,0,0,,,1,4,0,0,persuadable
DON-0087,evento,infancia,F,39,medio_bajo,8.64,11.25,1.82,0.0432,1,3.13,0.2779,7,6,1,0.8571,0,19,7,4,0,0.5937,0.0937,7,53,19,8.6,4.3789,0,1,0,0,,,1,6,1,0,persuadable
DON-0088,evento,salud,M,52,medio_alto,58.58,66.46,1.34,0.0122,0,25.71,0.3868,11,10,1,0.9091,0,0,12,5,0,0.4406,0.0799,3,15,0,9.1,6.5959,0,0,0,0,,,0,5,0,0,persuadable
DON-0089,referido,educacion,F,47,medio_alto,40.54,81.65,1.52,0.0483,1,31.15,0.3815,21,20,1,0.9524,0,16,24,8,2,0.3534,0.1209,21,48,16,9.5,7.4475,0,0,2,1,0.5,15.0,0,6,0,0,sure_thing
DON-0090,online,medio_ambiente,F,32,medio,25.1,40.63,2.37,0.0619,1,9.1,0.2241,10,9,1,0.9,1,9,10,3,1,0.3208,0.1541,38,55,9,9.0,6.0096,0,1,1,0,0.0,2.0,0,9,0,1,sure_thing
DON-0091,calle,educacion,M,44,medio,25.02,100.93,0.94,0.0892,1,25.81,0.2557,34,29,5,0.8529,0,51,30,11,3,0.3751,0.109,15,14,51,8.5,8.1411,0,0,0,0,,,1,7,0,0,sure_thing
DON-0092,evento,emergencias,M,18,medio,15.31,18.04,0.3,0.0119,0,3.91,0.2165,15,15,0,1.0,2,43,17,7,4,0.4654,0.2433,35,9,43,10.0,5.6043,0,0,0,0,,,1,8,1,0,persuadable
DON-0093,referido,infancia,F,49,medio_alto,45.02,96.98,1.67,0.0525,1,39.13,0.4035,22,20,2,0.9091,0,20,19,11,2,0.6073,0.1312,59,78,20,9.1,7.666,0,1,3,1,0.3333,14.0,0,5,0,0,sure_thing
DON-0094,evento,salud,F,45,medio,27.89,59.68,0.17,0.0356,1,15.61,0.2615,32,26,6,0.8125,0,29,25,11,3,0.4653,0.1546,95,60,29,8.1,7.5553,1,0,2,1,0.5,26.0,1,8,1,0,sure_thing
DON-0095,referido,infancia,F,50,medio_bajo,9.75,14.24,0.07,0.0384,1,3.91,0.2747,12,9,3,0.75,0,20,13,8,3,0.6467,0.3008,7,81,20,7.5,5.1468,0,2,2,2,1.0,5.0,1,6,1,0,persuadable
DON-0096,online,educacion,F,55,medio_bajo,14.45,25.29,0.86,0.0227,1,6.16,0.2437,33,31,2,0.9394,0,0,33,6,0,0.1854,0.0203,27,25,0,9.4,6.7281,0,0,1,0,0.0,18.0,0,4,0,0,sure_thing
DON-0097,online,salud,M,46,medio,14.29,29.16,1.78,0.0385,1,8.12,0.2785,27,23,4,0.8519,0,24,22,13,2,0.6038,0.1244,9,27,24,8.5,6.6699,1,0,2,2,1.0,24.0,1,10,0,0,sure_thing
DON-0098,online,salud,M,43,medio,11.48,1.0,0.74,-0.0312,0,0.24,0.2435,31,29,2,0.9355,0,3,31,5,2,0.1866,0.0731,61,18,3,9.4,3.4657,0,0,1,1,1.0,30.0,1,5,0,0,persuadable
DON-0099,calle,educacion,F,30,medio,27.83,34.44,0.11,0.0091,0,7.85,0.2279,26,23,3,0.8846,1,22,22,8,2,0.3716,0.1257,66,31,22,8.8,6.7984,0,0,1,1,1.0,17.0,1,8,0,0,persuadable
DON-0100,calle,medio_ambiente,F,32,bajo,7.24,5.64,0.19,-0.0096,0,1.54,0.2735,23,20,3,0.8696,0,0,18,9,1,0.5396,0.0683,11,46,0,8.7,4.8731,0,0,3,0,0.0,16.0,1,6,1,0,persuadable
DON-0101,calle,emergencias,F,57,medio_alto,59.74,51.78,0.01,-0.0121,0,20.23,0.3907,11,11,0,1.0,0,7,9,3,0,0.4066,0.0381,31,75,7,10.0,6.3467,0,0,3,0,0.0,10.0,0,4,0,0,persuadable
DON-0102,evento,salud,F,60,medio_bajo,11.79,10.23,0.42,-0.0331,0,2.73,0.2673,4,4,0,1.0,1,14,4,2,0,0.6726,0.0884,65,9,14,10.0,3.7358,0,1,0,0,,,0,6,0,0,persuadable
DON-0103,online,infancia,M,38,medio_bajo,14.37,13.87,0.15,-0.0058,0,3.63,0.2614,6,6,0,1.0,0,8,6,1,0,0.3137,0.0326,21,23,8,10.0,4.4334,1,0,3,1,0.3333,4.0,1,9,1,0,persuadable
DON-0104,online,salud,F,42,medio,26.54,27.81,2.69,0.0048,0,6.03,0.217,10,9,1,0.9,1,23,10,2,0,0.2496,0.027,38,27,23,9.0,5.6316,0,0,0,0,,,1,10,1,0,persuadable
DON-0105,telefono,educacion,M,30,medio_bajo,13.44,20.54,0.07,0.0155,0,5.45,0.2652,34,28,6,0.8235,0,14,30,14,5,0.4932,0.1668,48,30,14,8.2,6.5502,0,1,0,0,,,1,6,1,0,persuadable
DON-0106,calle,medio_ambiente,M,57,medio,21.38,24.67,0.0,0.0096,0,6.58,0.2666,16,14,2,0.875,0,64,17,7,2,0.466,0.1723,61,35,64,8.8,5.9807,0,0,0,0,,,0,6,0,0,persuadable
DON-0107,online,educacion,M,50,medio,17.65,28.66,0.53,0.0416,1,7.03,0.2455,15,15,0,1.0,1,8,14,6,0,0.4545,0.0233,21,72,8,10.0,6.0659,0,0,0,0,,,0,8,0,0,sure_thing
DON-0108,referido,emergencias,M,67,medio,28.69,17.55,0.24,-0.0169,0,5.08,0.2894,23,23,0,1.0,0,25,23,13,3,0.5941,0.1469,85,97,25,10.0,6.003,0,0,1,0,0.0,12.0,1,3,1,0,persuadable
